DICO,NUTSI_DSG,NUTSI_COD,NUTSII_DSG,NUTSII_COD,NUTSIII_DSG,NUTSIII_COD,DISTRITO_ILHA_DSG,CONCELHO_DSG,nutsi_norm,nutsii_norm,nutsiii_norm,municipality_norm,region_norm,district_norm,MunicipalityCode,location_context,block_key,avg_rent_m2,avg_str_density,population_density,avg_price,count_listings,price_per_listing
605,CONTINENTE,1,CENTRO,16,REGIÃO DE COIMBRA,16E,COIMBRA,FIGUEIRA DA FOZ,continente,centro,regiao de coimbra,figueira da foz,regiao de coimbra,coimbra,0605,figueira da foz coimbra,figu,6.61,185.66,160.1,205802.46141215105,1218.0,168.96753810521432
606,CONTINENTE,1,CENTRO,16,REGIÃO DE COIMBRA,16E,COIMBRA,GÓIS,continente,centro,regiao de coimbra,gois,regiao de coimbra,coimbra,0606,gois coimbra,gois,6.830535714285714,22.18,14.4,138078.57142857142,42.0,3287.5850340136053
607,CONTINENTE,1,CENTRO,16,REGIÃO DE COIMBRA,16E,COIMBRA,LOUSÃ,continente,centro,regiao de coimbra,lousa,regiao de coimbra,coimbra,0607,lousa coimbra,lous,8.72,66.02000000000001,125.9,168759.9641577061,279.0,604.874423504323
608,CONTINENTE,1,CENTRO,16,REGIÃO DE COIMBRA,16E,COIMBRA,MIRA,continente,centro,regiao de coimbra,mira,regiao de coimbra,coimbra,0608,mira coimbra,mira,8.715,74.64,101.0,202227.6397515528,161.0,1256.0722965934956
609,CONTINENTE,1,CENTRO,16,REGIÃO DE COIMBRA,16E,COIMBRA,MIRANDA DO CORVO,continente,centro,regiao de coimbra,miranda do corvo,regiao de coimbra,coimbra,0609,miranda do corvo coimbra,mira,6.0600000000000005,51.52,95.9,176114.51612903227,124.0,1420.2783558792926
610,CONTINENTE,1,CENTRO,16,REGIÃO DE COIMBRA,16E,COIMBRA,MONTEMOR-O-VELHO,continente,centro,regiao de coimbra,montemor-o-velho,regiao de coimbra,coimbra,0610,montemor-o-velho coimbra,mont,10.155,65.43333333333334,108.7,140315.53784860557,251.0,559.0260472055999
611,CONTINENTE,1,CENTRO,16,REGIÃO DE COIMBRA,16E,COIMBRA,OLIVEIRA DO HOSPITAL,continente,centro,regiao de coimbra,oliveira do hospital,regiao de coimbra,coimbra,0611,oliveira do hospital coimbra,oliv,8.98,65.11176470588236,83.0,158094.79768786128,173.0,913.8427612015103
612,CONTINENTE,1,CENTRO,16,REGIÃO DE COIMBRA,16E,COIMBRA,PAMPILHOSA DA SERRA,continente,centro,regiao de coimbra,pampilhosa da serra,regiao de coimbra,coimbra,0612,pampilhosa da serra coimbra,pamp,6.830535714285714,15.188888888888888,10.4,195791.66666666666,24.0,8157.98611111111
613,CONTINENTE,1,CENTRO,16,REGIÃO DE COIMBRA,16E,COIMBRA,PENACOVA,continente,centro,regiao de coimbra,penacova,regiao de coimbra,coimbra,0613,penacova coimbra,pena,3.52,37.87777777777777,59.6,152777.27272727274,88.0,1736.1053719008266
614,CONTINENTE,1,CENTRO,16,REGIÃO DE COIMBRA,16E,COIMBRA,PENELA,continente,centro,regiao de coimbra,penela,regiao de coimbra,coimbra,0614,penela coimbra,pene,6.830535714285714,30.2,41.6,146788.57142857142,70.0,2096.9795918367345
615,CONTINENTE,1,CENTRO,16,REGIÃO DE COIMBRA,16E,COIMBRA,SOURE,continente,centro,regiao de coimbra,soure,regiao de coimbra,coimbra,0615,soure coimbra,sour,3.8,54.48181818181818,65.0,138126.25688073394,218.0,633.6066829391465
616,CONTINENTE,1,CENTRO,16,REGIÃO DE COIMBRA,16E,COIMBRA,TÁBUA,continente,centro,regiao de coimbra,tabua,regiao de coimbra,coimbra,0616,tabua coimbra,tabu,3.4,41.96666666666667,58.1,163107.9365079365,63.0,2589.0148652053413
